ManufacturingDif,ServicesDif,CCDif,BPDif,TotalDif,Open,High,Low,Close,HighPercentDif,LowPercentDif,ClosePercentDif,Lag1HighPercentDif,Lag1LowPercentDif,Lag1ClosePercentDif,Lag2HighPercentDif,Lag2LowPercentDif,Lag2ClosePercentDif,Position,WeekVal
1,-3,4,-6,-4,1.2427,1.2524,1.2334,1.2462,-0.001116606,0.0098247912,0.0033008614,-0.003752795,-0.010377817,0.0162821142,-0.001116606,0.0098247912,0.0028719127,Buy,2018W04
0,0,4,-4,0,1.2268,1.2538,1.2214,1.2421,0.017364492,0.004027949,0.0162821142,-0.001116606,0.0098247912,0.0028719127,0.017364492,0.004027949,0.0130507066,Buy,2018W03
0,0,4,-4,0,1.2197,1.2324,1.2165,1.2222,0.0109926169,0.0208962739,0.0028719127,0.017364492,0.004027949,0.0130507066,0.0109926169,0.0208962739,0.0026671112,Buy,2018W02
0,0,4,-4,0,1.2029,1.219,1.1916,1.2187,0.0081879084,-0.006586078,0.0130507066,0.0109926169,0.0208962739,0.0026671112,0.0081879084,-0.006586078,0.0117210557,Hold,2018W01
2,-1,3,-6,-2,1.1851,1.203,1.1843,1.1998,0.0106695791,0.0089453058,0.0117210557,0.0050706567,0.0128345858,0.0089331291,0.0106695791,0.0089453058,-0.000850051,Buy,2017W52
2,-1,3,-6,-2,1.1755,1.1903,1.1738,1.1859,0.0032872556,0.0017067759,0.0089331291,0.0106695791,0.0089453058,-0.000850051,0.0032872556,0.0017067759,-0.010680346,Buy,2017W51
2,-1,3,-6,-2,1.1769,1.1864,1.1718,1.1754,-0.002018843,-0.00085266,-0.000850051,0.0032872556,0.0017067759,-0.010680346,-0.002018843,-0.00085266,-0.00326907,Sell,2017W50
2,-1,3,-6,-2,1.1881,1.1888,1.1728,1.1764,-0.006186256,-0.006859175,-0.010680346,-0.002018843,-0.00085266,-0.00326907,-0.006186256,-0.006859175,0.0114455278,Sell,2017W49
2,-1,3,-6,-2,1.1933,1.1962,1.1809,1.1891,0.0014231896,0.0082821038,-0.00326907,-0.006186256,-0.006859175,0.0114455278,0.0014231896,0.0082821038,0.0111444492,Hold,2017W48
1,-3,2,-4,-4,1.1789,1.1945,1.1712,1.193,0.0069971337,0.0063584808,0.0114455278,0.0014231896,0.0082821038,0.0111444492,0.0069971337,0.0063584808,0.0048238436,Buy,2017W47
1,-3,2,-4,-4,1.1666,1.1862,1.1638,1.1795,0.0155821918,0.0072702095,0.0111444492,0.0069971337,0.0063584808,0.0048238436,0.0155821918,0.0072702095,-0.000086133,Buy,2017W46
1,-3,2,-4,-4,1.161,1.168,1.1554,1.1665,-0.001026343,-0.00345006,0.0048238436,0.0155821918,0.0072702095,-0.000086133,-0.001026343,-0.00345006,-0.014849385,Hold,2017W45
1,-3,2,-4,-4,1.1603,1.1692,1.1594,1.1609,-0.012333164,0.0016414687,-0.000086133,-0.001026343,-0.00345006,-0.014849385,-0.012333164,0.0016414687,-0.003214074,Sell,2017W44
-3,-2,0,-3,-8,1.1773,1.1838,1.1575,1.161,-0.001854975,-0.013298099,-0.014849385,-0.012333164,0.0016414687,-0.003214074,-0.001854975,-0.013298099,0.0075847963,Sell,2017W43
-3,-2,0,-3,-8,1.1826,1.186,1.1731,1.1785,-0.001767528,0.0011948451,-0.003214074,-0.001854975,-0.013298099,0.0075847963,-0.001767528,0.0011948451,-0.006771627,Sell,2017W42
-3,-2,0,-3,-8,1.1728,1.1881,1.1717,1.1823,0.0054159262,0.0041995201,0.0075847963,-0.001767528,0.0011948451,-0.006771627,0.0054159262,0.0041995201,-0.011711561,Buy,2017W41
-3,-2,0,-3,-8,1.1817,1.1817,1.1668,1.1734,-0.012121719,-0.004181958,-0.006771627,0.0054159262,0.0041995201,-0.011711561,-0.012121719,-0.004181958,0.0009210416,Sell,2017W40
-2,1,-1,-3,-5,1.1953,1.1962,1.1717,1.1814,-0.00590044,-0.012223908,-0.011711561,-0.012121719,-0.004181958,0.0009210416,-0.00590044,-0.012223908,-0.007644371,Sell,2017W39
-2,1,-1,-3,-5,1.1949,1.2033,1.1862,1.1954,-0.000664397,0.0020273695,0.0009210416,-0.00590044,-0.012223908,-0.007644371,-0.000664397,0.0020273695,0.014841049,Buy,2017W38
-2,1,-1,-3,-5,1.2041,1.2041,1.1838,1.1943,-0.004382338,-0.001349755,-0.007644371,-0.000664397,0.0020273695,0.014841049,-0.004382338,-0.001349755,-0.005617978,Sell,2017W37
-2,1,-1,-3,-5,1.1859,1.2094,1.1854,1.2035,0.0019053931,0.002622008,0.014841049,-0.004382338,-0.001349755,-0.005617978,0.0019053931,0.002622008,0.0139432069,Buy,2017W36
-2,1,-1,-3,-5,1.1926,1.2071,1.1823,1.1859,0.0108022107,0.0078424687,-0.005617978,0.0019053931,0.002622008,0.0139432069,0.0108022107,0.0078424687,-0.004991118,Hold,2017W35
